16/03/24 16:06:42| starting
16/03/24 16:06:44| Total input paths to process : 50
Spent 370ms computing base-splits.
Spent 9ms computing TeraScheduler splits.
Computing input splits took 380ms
Sampling 10 splits of 300
Making 48 from 100000 sampled records
Computing parititions took 808ms
Spent 1192ms computing partitions.
16/03/24 16:06:45| Connecting to ResourceManager at mazzu1.local.necst.it/131.175.14.9:8032
16/03/24 16:06:46| number of splits:300
16/03/24 16:06:46| mapred.reduce.tasks is deprecated. Instead, use mapreduce.job.reduces
16/03/24 16:06:46| Submitting tokens for job: job_1454085119865_1976
16/03/24 16:06:46| Submitted application application_1454085119865_1976
16/03/24 16:06:47| The url to track the job: http://mazzu1.local.necst.it:8081/proxy/application_1454085119865_1976/
16/03/24 16:06:47| Running job: job_1454085119865_1976
16/03/24 16:06:54| Job job_1454085119865_1976 running in uber mode : false
16/03/24 16:06:54|  map 0% reduce 0%
16/03/24 16:07:10|  map 1% reduce 0%
16/03/24 16:07:11|  map 2% reduce 0%
16/03/24 16:07:12|  map 3% reduce 0%
16/03/24 16:07:13|  map 4% reduce 0%
16/03/24 16:07:15|  map 5% reduce 0%
16/03/24 16:07:18|  map 6% reduce 0%
16/03/24 16:07:21|  map 8% reduce 0%
16/03/24 16:07:34|  map 9% reduce 0%
16/03/24 16:07:36|  map 10% reduce 0%
16/03/24 16:07:37|  map 11% reduce 0%
16/03/24 16:07:38|  map 12% reduce 0%
16/03/24 16:07:41|  map 13% reduce 0%
16/03/24 16:07:43|  map 14% reduce 0%
16/03/24 16:07:48|  map 15% reduce 0%
16/03/24 16:07:57|  map 16% reduce 0%
16/03/24 16:07:58|  map 17% reduce 0%
16/03/24 16:08:00|  map 18% reduce 0%
16/03/24 16:08:01|  map 19% reduce 0%
16/03/24 16:08:04|  map 20% reduce 0%
16/03/24 16:08:06|  map 21% reduce 0%
16/03/24 16:08:08|  map 22% reduce 0%
16/03/24 16:08:10|  map 22% reduce 1%
16/03/24 16:08:12|  map 23% reduce 1%
16/03/24 16:08:19|  map 24% reduce 1%
16/03/24 16:08:20|  map 25% reduce 1%
16/03/24 16:08:22|  map 26% reduce 1%
16/03/24 16:08:25|  map 27% reduce 1%
16/03/24 16:08:27|  map 28% reduce 1%
16/03/24 16:08:29|  map 29% reduce 1%
16/03/24 16:08:37|  map 30% reduce 1%
16/03/24 16:08:40|  map 31% reduce 1%
16/03/24 16:08:45|  map 32% reduce 1%
16/03/24 16:08:46|  map 33% reduce 1%
16/03/24 16:08:48|  map 34% reduce 1%
16/03/24 16:08:49|  map 34% reduce 2%
16/03/24 16:08:54|  map 35% reduce 2%
16/03/24 16:08:59|  map 36% reduce 2%
16/03/24 16:09:03|  map 37% reduce 2%
16/03/24 16:09:06|  map 38% reduce 2%
16/03/24 16:09:10|  map 39% reduce 2%
16/03/24 16:09:16|  map 40% reduce 3%
16/03/24 16:09:18|  map 41% reduce 3%
16/03/24 16:09:20|  map 42% reduce 3%
16/03/24 16:09:25|  map 43% reduce 3%
16/03/24 16:09:27|  map 44% reduce 3%
16/03/24 16:09:32|  map 45% reduce 3%
16/03/24 16:09:35|  map 45% reduce 4%
16/03/24 16:09:40|  map 46% reduce 4%
16/03/24 16:09:42|  map 47% reduce 4%
16/03/24 16:09:46|  map 48% reduce 4%
16/03/24 16:09:49|  map 49% reduce 4%
16/03/24 16:09:50|  map 49% reduce 5%
16/03/24 16:10:01|  map 50% reduce 5%
16/03/24 16:10:04|  map 51% reduce 5%
16/03/24 16:10:07|  map 52% reduce 5%
16/03/24 16:10:19|  map 53% reduce 5%
16/03/24 16:10:22|  map 54% reduce 5%
16/03/24 16:10:25|  map 55% reduce 5%
16/03/24 16:10:28|  map 55% reduce 6%
16/03/24 16:10:30|  map 56% reduce 6%
16/03/24 16:10:37|  map 57% reduce 6%
16/03/24 16:10:40|  map 58% reduce 6%
16/03/24 16:10:42|  map 59% reduce 6%
16/03/24 16:10:48|  map 60% reduce 6%
16/03/24 16:10:54|  map 61% reduce 6%
16/03/24 16:10:58|  map 62% reduce 6%
16/03/24 16:11:03|  map 63% reduce 6%
16/03/24 16:11:09|  map 63% reduce 7%
16/03/24 16:11:10|  map 64% reduce 7%
16/03/24 16:11:16|  map 65% reduce 7%
16/03/24 16:11:21|  map 66% reduce 7%
16/03/24 16:11:29|  map 67% reduce 7%
16/03/24 16:11:34|  map 68% reduce 7%
16/03/24 16:11:39|  map 69% reduce 7%
16/03/24 16:11:42|  map 70% reduce 7%
16/03/24 16:11:47|  map 71% reduce 7%
16/03/24 16:11:51|  map 72% reduce 7%
16/03/24 16:11:56|  map 73% reduce 7%
16/03/24 16:11:59|  map 74% reduce 7%
16/03/24 16:12:02|  map 74% reduce 8%
16/03/24 16:12:05|  map 75% reduce 8%
16/03/24 16:12:09|  map 76% reduce 8%
16/03/24 16:12:15|  map 77% reduce 8%
16/03/24 16:12:22|  map 78% reduce 8%
16/03/24 16:12:27|  map 79% reduce 8%
16/03/24 16:12:33|  map 80% reduce 8%
16/03/24 16:12:38|  map 81% reduce 8%
16/03/24 16:12:44|  map 82% reduce 8%
16/03/24 16:12:47|  map 83% reduce 8%
16/03/24 16:12:51|  map 84% reduce 8%
16/03/24 16:12:53|  map 84% reduce 9%
16/03/24 16:12:58|  map 85% reduce 9%
16/03/24 16:13:02|  map 86% reduce 9%
16/03/24 16:13:05|  map 87% reduce 9%
16/03/24 16:13:10|  map 88% reduce 9%
16/03/24 16:13:17|  map 89% reduce 9%
16/03/24 16:13:23|  map 90% reduce 9%
16/03/24 16:13:29|  map 91% reduce 9%
16/03/24 16:13:36|  map 92% reduce 9%
16/03/24 16:13:42|  map 93% reduce 9%
16/03/24 16:13:44|  map 93% reduce 10%
16/03/24 16:13:47|  map 94% reduce 10%
16/03/24 16:13:54|  map 95% reduce 10%
16/03/24 16:13:58|  map 96% reduce 10%
16/03/24 16:14:05|  map 98% reduce 10%
16/03/24 16:14:11|  map 99% reduce 10%
16/03/24 16:14:17|  map 99% reduce 11%
16/03/24 16:14:21|  map 100% reduce 11%
16/03/24 16:14:24|  map 100% reduce 12%
16/03/24 16:14:25|  map 100% reduce 13%
16/03/24 16:14:27|  map 100% reduce 14%
16/03/24 16:14:34|  map 100% reduce 15%
16/03/24 16:14:39|  map 100% reduce 16%
16/03/24 16:14:48|  map 100% reduce 17%
16/03/24 16:15:16|  map 100% reduce 18%
16/03/24 16:15:29|  map 100% reduce 19%
16/03/24 16:15:41|  map 100% reduce 25%
16/03/24 16:15:42|  map 100% reduce 28%
16/03/24 16:15:44|  map 100% reduce 35%
16/03/24 16:15:45|  map 100% reduce 36%
16/03/24 16:15:50|  map 100% reduce 37%
16/03/24 16:15:51|  map 100% reduce 38%
16/03/24 16:15:53|  map 100% reduce 39%
16/03/24 16:15:56|  map 100% reduce 40%
16/03/24 16:15:59|  map 100% reduce 41%
16/03/24 16:16:00|  map 100% reduce 42%
16/03/24 16:16:03|  map 100% reduce 43%
16/03/24 16:16:06|  map 100% reduce 44%
16/03/24 16:16:07|  map 100% reduce 45%
16/03/24 16:16:09|  map 100% reduce 46%
16/03/24 16:16:12|  map 100% reduce 47%
16/03/24 16:16:13|  map 100% reduce 48%
16/03/24 16:16:16|  map 100% reduce 49%
16/03/24 16:16:20|  map 100% reduce 50%
16/03/24 16:16:24|  map 100% reduce 51%
16/03/24 16:16:29|  map 100% reduce 52%
16/03/24 16:16:32|  map 100% reduce 53%
16/03/24 16:16:33|  map 100% reduce 54%
16/03/24 16:16:34|  map 100% reduce 55%
16/03/24 16:16:36|  map 100% reduce 56%
16/03/24 16:16:39|  map 100% reduce 57%
16/03/24 16:16:42|  map 100% reduce 58%
16/03/24 16:16:52|  map 100% reduce 59%
16/03/24 16:17:08|  map 100% reduce 60%
16/03/24 16:17:13|  map 100% reduce 61%
16/03/24 16:17:15|  map 100% reduce 62%
16/03/24 16:17:20|  map 100% reduce 63%
16/03/24 16:17:24|  map 100% reduce 64%
16/03/24 16:17:27|  map 100% reduce 65%
16/03/24 16:17:33|  map 100% reduce 66%
16/03/24 16:17:36|  map 100% reduce 67%
16/03/24 16:17:43|  map 100% reduce 68%
16/03/24 16:17:51|  map 100% reduce 69%
16/03/24 16:17:57|  map 100% reduce 70%
16/03/24 16:18:00|  map 100% reduce 71%
16/03/24 16:18:03|  map 100% reduce 72%
16/03/24 16:18:10|  map 100% reduce 73%
16/03/24 16:18:15|  map 100% reduce 74%
16/03/24 16:18:20|  map 100% reduce 75%
16/03/24 16:18:23|  map 100% reduce 76%
16/03/24 16:18:25|  map 100% reduce 77%
16/03/24 16:18:28|  map 100% reduce 78%
16/03/24 16:18:29|  map 100% reduce 79%
16/03/24 16:18:31|  map 100% reduce 80%
16/03/24 16:18:34|  map 100% reduce 82%
16/03/24 16:18:37|  map 100% reduce 84%
16/03/24 16:18:38|  map 100% reduce 85%
16/03/24 16:18:40|  map 100% reduce 86%
16/03/24 16:18:41|  map 100% reduce 87%
16/03/24 16:18:43|  map 100% reduce 88%
16/03/24 16:18:46|  map 100% reduce 89%
